record_type|record_id|source_year|source_file|source_sheet|row_number|programme|key_output|key_indicator|annual_target|achieved_output|variance|status|comment|source_url|source_name|retrieved_at
performance_record|performance_budget_performance_by_program_0203|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|206|||2 Proportion of fishers licenced|80|18|80|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0204|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|207||02 Aquaculture extension services provided|||||||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0205|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|208|||1 Number of fish farmers receiving extension servicing|50|45|35|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0206|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|209|||2 Number of farmers trained in Best Management Practices in Aquaculture|160|15|160|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0207|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|210||03 Fish ban enforced|||||||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0208|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|211|||1 Number of land and water patrols conducted|12|9|12|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0209|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|212||01 Livestock Extention services provided|||||||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0210|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|213|||1 Number of Livestock Farmers receiving Extension Services|64|600|64|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0211|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|214||02 Livestock Trainings and Demos conducted|||||||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0212|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|215|||1 Number of Livestock field days Conducted|160|0|140|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
